Subject,Start Date,End Date,All Day Event,Description,Location
Term Ends,01/07/2028,01/07/2028,True,,
Term Ends,05/06/2028,05/06/2028,True,,
Term Ends,08/04/2028,08/04/2028,True,,
Commencements,12/19/2027,12/19/2027,True,,
Commencements,05/12/2028,05/15/2028,True,,
Commencements,08/05/2028,08/05/2028,True,,
Fall Break,10/11/2027,10/13/2027,True,,
Spring Break,03/13/2028,03/19/2028,True,,
Juneteenth - Class in Session,06/19/2028,06/19/2028,True,,
Thanksgiving Break,11/24/2027,11/28/2027,True,,
Memorial Day - University Closed,05/29/2028,05/29/2028,True,,
Fourth of July - University Closed,07/04/2028,07/04/2028,True,,
Labor Day - University Closed,09/06/2027,09/06/2027,True,,
MLK Day - University Closed,01/17/2028,01/17/2028,True,,
President’s Designated Holiday,12/30/2027,12/30/2027,True,,
Christmas Holiday - University Closed,12/23/2027,12/25/2027,True,,
New Year’s Day - University Closed,12/31/2027,12/31/2027,True,,
Classes/Term Begin,08/21/2028,08/21/2028,True,,
Classes/Term Begin,12/18/2028,12/18/2028,True,,
Classes/Term Begin,01/08/2029,01/08/2029,True,,
Classes/Term Begin,05/14/2029,05/14/2029,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/15/2028,09/15/2028,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/02/2029,02/02/2029,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/08/2029,06/08/2029,True,,
Classes End,12/09/2028,12/09/2028,True,,
Classes End,01/05/2029,01/05/2029,True,,
Classes End,04/28/2029,04/28/2029,True,,
Classes End,08/03/2029,08/03/2029,True,,
Final Exams,12/11/2028,12/17/2028,True,,
Term Ends,12/16/2028,12/16/2028,True,,
Term Ends,01/05/2029,01/05/2029,True,,
Term Ends,05/05/2029,05/05/2029,True,,
Term Ends,08/03/2029,08/03/2029,True,,
Commencements,12/17/2028,12/17/2028,True,,
Commencements,05/11/2029,05/14/2029,True,,
Commencements,08/04/2029,08/04/2029,True,,
Fall Break,10/09/2028,10/11/2028,True,,
Spring Break,03/12/2029,03/18/2029,True,,
Thanksgiving Break,11/22/2028,11/26/2028,True,,
Memorial Day - University Closed,05/28/2029,05/28/2029,True,,
Juneteenth - Class in Session,06/19/2029,06/19/2029,True,,
Fourth of July - University Closed,07/04/2029,07/04/2029,True,,
Labor Day - University Closed,09/04/2028,09/04/2028,True,,
MLK Day - University Closed,01/15/2029,01/15/2029,True,,
President’s Designated Holiday,12/30/2028,12/30/2028,True,,
Christmas Holiday - University Closed,12/25/2028,12/27/2028,True,,
New Year’s Day - University Closed,01/01/2029,01/01/2029,True,,
Classes/Term Begin,08/20/2029,08/20/2029,True,,
Classes/Term Begin,12/17/2029,12/17/2029,True,,
Classes/Term Begin,01/07/2030,01/07/2030,True,,
Classes/Term Begin,05/13/2030,05/13/2030,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/14/2029,09/14/2029,True,,
Last Day to Apply to Graduate/Declare Candidacy,02/01/2030,02/01/2030,True,,
Last Day to Apply to Graduate/Declare Candidacy,06/07/2030,06/07/2030,True,,
Classes End,12/08/2029,12/08/2029,True,,
Classes End,01/04/2030,01/04/2030,True,,
Classes End,04/27/2030,04/27/2030,True,,
Classes End,08/02/2030,08/02/2030,True,,
Final Exams,12/10/2029,12/16/2029,True,,
Term Ends,12/15/2029,12/15/2029,True,,
Term Ends,01/04/2030,01/04/2030,True,,
Term Ends,05/04/2030,05/04/2030,True,,
Term Ends,08/02/2030,08/02/2030,True,,
Commencements,12/16/2029,12/16/2029,True,,
Commencements,05/10/2030,05/13/2030,True,,
Commencements,08/03/2030,08/03/2030,True,,
Fall Break,10/08/2029,10/10/2029,True,,
Spring Break,03/11/2030,03/17/2030,True,,
Thanksgiving Break,11/21/2029,11/25/2029,True,,
Memorial Day - University Closed,05/27/2030,05/27/2030,True,,
Juneteenth - Class in Session,06/19/2030,06/19/2030,True,,
Fourth of July - University Closed,07/04/2030,07/04/2030,True,,
Labor Day - University Closed,09/03/2029,09/03/2029,True,,
MLK Day - University Closed,01/21/2030,01/21/2030,True,,
President’s Designated Holiday,12/31/2029,12/31/2029,True,,
Christmas Holiday - University Closed,12/24/2029,12/26/2029,True,,
New Year’s Day - University Closed,01/01/2030,01/01/2030,True,,
Classes/Term Begin,08/19/2030,08/19/2030,True,,
Classes/Term Begin,12/16/2030,12/16/2030,True,,
Classes/Term Begin,01/13/2031,01/13/2031,True,,
Classes/Term Begin,05/19/2031,05/19/2031,True,,
Last Day to Apply to Graduate/Declare Candidacy,09/13/2030,09/13/2030,True,,
